0	37.7	55.1	72.5	90
   5.7000000e+00   1.6249950e-03   9.5798000e-04   2.7038600e-04   3.0648660e-03   5.5124980e-03
   5.8000000e+00   2.5700480e-03   3.1052680e-03   1.1963500e-04   2.1816550e-03   4.8809600e-04
   5.9000000e+00   1.2745200e-03   1.4008420e-03   3.2233010e-03  -1.4379500e-04   3.2125040e-03
   6.0000000e+00   2.1607910e-03   5.8823160e-03   4.6132500e-03   2.4791100e-03   3.1288660e-03
   6.1000000e+00   2.1223820e-03   2.4292070e-03   2.6489080e-03   1.7396690e-03   2.6083550e-03
   6.2000000e+00  -1.5191900e-03   8.8651400e-04   2.0274050e-03   2.4113860e-03   1.6809800e-04
   6.3000000e+00  -1.0143250e-03   5.0019670e-03   2.0060060e-03  -9.9407700e-05   1.1990090e-03
   6.4000000e+00   2.7428000e-04   2.4945540e-03   1.2441740e-03   2.8878200e-04   2.8233500e-03
   6.5000000e+00   7.8141700e-04   1.6148820e-03   4.3235430e-03   6.3179200e-04   4.0763520e-03
   6.6000000e+00   5.4104950e-03   2.2534810e-03  -3.3099800e-05   3.0124410e-03   1.9247670e-03
   6.7000000e+00   4.3778500e-03   6.5359900e-04   2.7811020e-03  -1.5316790e-03   5.6875400e-04
   6.8000000e+00   1.3845290e-03   9.4549200e-05   1.0020070e-03   3.0677510e-03  -1.8798150e-03
   6.9000000e+00   4.6029680e-03  -2.2689800e-04   1.1388560e-03   8.4333000e-04   4.2976200e-03
   7.0000000e+00   4.7235350e-03   3.1712940e-03   1.1612970e-03  -5.3285700e-04  -1.0403900e-04
   7.1000000e+00   4.8287980e-03   2.7227870e-03  -4.4942500e-05   9.7632200e-04   1.2246070e-03
   7.2000000e+00   3.2672390e-03   2.4373190e-03   1.6140690e-03   8.4578600e-04   2.6646050e-03
   7.3000000e+00   2.5275780e-03   2.6827290e-03   1.8532130e-03   1.0305090e-03   1.1625170e-03
   7.4000000e+00   2.6214560e-03   2.2568790e-03   1.4481120e-03   7.8068700e-04  -2.6327400e-04
   7.5000000e+00   2.6110670e-03   7.3572300e-04   1.2279090e-03  -2.6506700e-04   2.1272790e-03
   7.6000000e+00   3.2059160e-03   1.0856260e-03   1.4805200e-03   1.0053770e-03   2.3848020e-03
   7.7000000e+00   2.0901420e-03   3.5459380e-03   1.7689640e-03   1.0705210e-03   3.3588980e-03
   7.8000000e+00   2.1001650e-03   1.9218590e-03  -3.0554300e-04  -4.2138300e-04   3.0360970e-03
   7.9000000e+00   1.5519000e-04   2.2886770e-03   3.0540200e-04   5.8709500e-04   1.4373930e-03
   8.0000000e+00   8.8097500e-04  -1.2924340e-03   1.9071090e-03   8.5124000e-04   2.5309330e-03
   8.1000000e+00   1.3608380e-03   4.5615200e-06   2.3462030e-03  -4.1648600e-04  -1.1491970e-03
   8.2000000e+00   4.9132300e-03  -3.5025100e-04   2.1239800e-03  -3.1289400e-04   6.1938100e-04
   8.3000000e+00  -7.5637300e-04   4.0062480e-03   8.8279000e-04   7.9450500e-04   1.7251150e-03
   8.4000000e+00   1.8705400e-03  -5.5692300e-04   2.8761290e-03  -1.2242550e-03  -1.1256350e-03
   8.5000000e+00   6.1766700e-04  -1.8038340e-03  -9.0759900e-04   1.9193600e-05   2.0941260e-03
   8.6000000e+00   7.2344200e-04   1.9703190e-03  -4.4419100e-04  -1.8888800e-03  -1.6073300e-04
   8.7000000e+00   2.6714330e-03   9.1735100e-04   2.8317870e-03   1.2170760e-03   1.5561630e-03
   8.8000000e+00   2.1314150e-03   7.5729700e-04  -5.8664400e-04  -1.0098380e-03  -1.7649900e-04
   8.9000000e+00   7.5208600e-04   2.9300620e-03   7.2780600e-04  -4.7028000e-06   9.4361000e-04
   9.0000000e+00  -1.5956530e-03   1.6608090e-03  -1.6721400e-04   7.4308200e-04  -8.0514800e-04
   9.1000000e+00   4.2654300e-04   9.3101300e-04   7.2552000e-04  -8.9024800e-04   3.0763400e-04
   9.2000000e+00   2.3388400e-04   5.5423800e-04  -1.1788770e-03   2.6612140e-03   1.5108800e-04
   9.3000000e+00  -5.5880900e-05   1.4088880e-03   9.8219500e-04   6.0773400e-04   6.0005500e-04
   9.4000000e+00  -3.7621900e-04   5.9934600e-04   1.7183300e-04  -4.7828500e-04  -4.8892900e-05
   9.5000000e+00  -7.4476400e-05   8.4355300e-04   5.6700400e-04   1.8537520e-03  -4.3700100e-04
   9.6000000e+00  -1.1145490e-03   3.1737600e-04   4.7565200e-05   1.7713840e-03   1.0950760e-03
   9.7000000e+00  -9.3613200e-04   1.6163600e-03   9.9897400e-04   1.1481350e-03  -1.4492080e-03
   9.8000000e+00   6.2282200e-04   6.0278900e-04   1.9121140e-03  -1.4968810e-03   1.0815690e-03
   9.9000000e+00  -4.1265900e-04   6.3334300e-04  -1.0004280e-03   1.4994570e-03  -2.1186800e-03
   1.0000000e+01   2.1391170e-03   9.5665100e-04   1.9374220e-03   6.2422800e-04  -1.0991800e-04
