   0   0   0  188.00
   0  -1   0    0.00
   0   1   0    0.00
  -1   0   0    0.00
   1   0   0    0.00
   0   0  -1    0.00
   0   0   1    0.00
  -1  -1   0    0.00
  -1   1   0    0.00
   1  -1   0    0.00
   1   1   0    0.00
   0  -1  -1    3.19
   0  -1   1    3.19
   0   1  -1    3.19
   0   1   1    3.19
  -1   0  -1   23.11
  -1   0   1   23.11
   1   0  -1   23.11
   1   0   1   23.11
   0  -2   0   21.73
   0   2   0   21.73
  -1  -1  -1    9.19
  -1  -1   1    9.19
  -1   1  -1    9.19
  -1   1   1    9.19
   1  -1  -1    9.19
   1  -1   1    9.19
   1   1  -1    9.19
   1   1   1    9.19
  -1  -2   0    0.00
  -1   2   0    0.00
   1  -2   0    0.00
   1   2   0    0.00
   0  -2  -1    0.00
   0  -2   1    0.00
   0   2  -1    0.00
   0   2   1    0.00
  -2   0   0   22.85
   2   0   0   22.85
  -1  -2  -1   19.90
  -1  -2   1   19.90
  -1   2  -1   19.90
  -1   2   1   19.90
   1  -2  -1   19.90
   1  -2   1   19.90
   1   2  -1   19.90
   1   2   1   19.90
   0   0  -2    8.01
   0   0   2    8.01
  -2  -1   0   11.43
  -2   1   0   11.43
   2  -1   0   11.43
   2   1   0   11.43
   0  -3   0    0.00
   0   3   0    0.00
   0  -1  -2    0.00
   0  -1   2    0.00
   0   1  -2    0.00
   0   1   2    0.00
  -2   0  -1   19.76
  -2   0   1   19.76
   2   0  -1   19.76
   2   0   1   19.76
  -1   0  -2   34.39
  -1   0   2   34.39
   1   0  -2   34.39
   1   0   2   34.39
  -2  -1  -1   23.48
  -2  -1   1   23.48
  -2   1  -1   23.48
  -2   1   1   23.48
   2  -1  -1   23.48
   2  -1   1   23.48
   2   1  -1   23.48
   2   1   1   23.48
  -1  -3   0    0.00
  -1   3   0    0.00
   1  -3   0    0.00
   1   3   0    0.00
  -1  -1  -2   28.80
  -1  -1   2   28.80
  -1   1  -2   28.80
  -1   1   2   28.80
   1  -1  -2   28.80
   1  -1   2   28.80
   1   1  -2   28.80
   1   1   2   28.80
   0  -3  -1   51.21
   0  -3   1   51.21
   0   3  -1   51.21
   0   3   1   51.21
  -2  -2   0   29.06
  -2   2   0   29.06
   2  -2   0   29.06
   2   2   0   29.06
   0  -2  -2   15.04
   0  -2   2   15.04
   0   2  -2   15.04
   0   2   2   15.04
  -1  -3  -1   22.10
  -1  -3   1   22.10
  -1   3  -1   22.10
  -1   3   1   22.10
   1  -3  -1   22.10
   1  -3   1   22.10
   1   3  -1   22.10
   1   3   1   22.10
  -2  -2  -1   28.32
  -2  -2   1   28.32
  -2   2  -1   28.32
  -2   2   1   28.32
   2  -2  -1   28.32
   2  -2   1   28.32
   2   2  -1   28.32
   2   2   1   28.32
  -1  -2  -2   14.87
  -1  -2   2   14.87
  -1   2  -2   14.87
  -1   2   2   14.87
   1  -2  -2   14.87
   1  -2   2   14.87
   1   2  -2   14.87
   1   2   2   14.87
  -2   0  -2   46.14
  -2   0   2   46.14
   2   0  -2   46.14
   2   0   2   46.14
   0  -4   0   50.30
   0   4   0   50.30
  -3   0   0    0.00
   3   0   0    0.00
  -2  -3   0   20.30
  -2   3   0   20.30
   2  -3   0   20.30
   2   3   0   20.30
  -2  -1  -2   13.07
  -2  -1   2   13.07
  -2   1  -2   13.07
  -2   1   2   13.07
   2  -1  -2   13.07
   2  -1   2   13.07
   2   1  -2   13.07
   2   1   2   13.07
  -3  -1   0    0.00
  -3   1   0    0.00
   3  -1   0    0.00
   3   1   0    0.00
   0  -3  -2    0.00
   0  -3   2    0.00
   0   3  -2    0.00
   0   3   2    0.00
  -1  -4   0    0.00
  -1   4   0    0.00
   1  -4   0    0.00
   1   4   0    0.00
   0  -4  -1    0.00
   0  -4   1    0.00
   0   4  -1    0.00
   0   4   1    0.00
  -3   0  -1   35.44
  -3   0   1   35.44
   3   0  -1   35.44
   3   0   1   35.44
  -2  -3  -1   11.44
  -2  -3   1   11.44
  -2   3  -1   11.44
  -2   3   1   11.44
   2  -3  -1   11.44
   2  -3   1   11.44
   2   3  -1   11.44
   2   3   1   11.44
   0   0  -3    0.00
   0   0   3    0.00
  -1  -3  -2   11.32
  -1  -3   2   11.32
  -1   3  -2   11.32
  -1   3   2   11.32
   1  -3  -2   11.32
   1  -3   2   11.32
   1   3  -2   11.32
   1   3   2   11.32
  -3  -1  -1   18.08
  -3  -1   1   18.08
  -3   1  -1   18.08
  -3   1   1   18.08
